provinceid,citycode,timepoint,timepointstr,area,positionname,stationcode,co,co_24h,latitude,longitude,measure,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,pm10,pm10_24h,pm2_5,pm2_5_24h,so2,so2_24h,aqi,colevel,no2level,o3level,o3_8hlevel,pm10level,pm2_5level,so2level,primarypollutant,quality,unheathful,orderid,ispublish,no,no_24h,nox,nox_24h
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,太平,1750A,0.4,0.5,41.1442,123.0485,极少数异常敏感人群应减少户外活动,20,13,69,—,93,91,52,110,12,29,5,6,51,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,铁西三道街,1751A,0.6,0.5,41.0971,122.9642,各类人群可正常活动,26,16,65,—,98,96,50,116,17,31,6,4,50,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,铁西工业园区,1752A,0.4,0.5,41.0833,122.9341,极少数异常敏感人群应减少户外活动,20,12,70,—,100,96,51,111,12,27,6,7,51,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,明达新区,1753A,0.6,0.7,41.0821,123.022,极少数异常敏感人群应减少户外活动,20,12,71,—,90,90,96,84,18,22,8,9,73,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
6,210300,2024-05-11T1800,2024年05月11日 18时,鞍山市,千山,1754A,—,—,41.0228,123.1289,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0,0,0,0,—,—,—,1,False,—,—,—,—
5,150800,2024-05-11T1800,2024年05月11日 18时,巴彦淖尔市,附二中,2195A,0.3,0.3,40.761,107.4212,各类人群可正常活动,7,17,126,—,118,118,50,65,32,30,4,4,50,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150800,2024-05-11T1800,2024年05月11日 18时,巴彦淖尔市,市环保大楼,2196A,0.3,0.4,40.7372,107.37,极少数异常敏感人群应减少户外活动,8,14,124,—,117,117,81,77,23,20,4,3,66,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
31,652800,2024-05-11T1800,2024年05月11日 18时,巴音郭楞蒙古自治州,孔雀公园,1956A,0.2,0.4,41.7538,86.1472,极少数异常敏感人群应减少户外活动,2,40,132,—,121,121,55,91,10,25,6,6,53,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
31,652800,2024-05-11T1800,2024年05月11日 18时,巴音郭楞蒙古自治州,棉纺厂,1957A,0.2,0.3,41.7166,86.1972,各类人群可正常活动,4,37,133,—,117,117,50,101,13,26,3,3,50,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
31,652800,2024-05-11T1800,2024年05月11日 18时,巴音郭楞蒙古自治州,经济开发区,1958A,0.2,0.2,41.7173,86.2357,各类人群可正常活动,5,14,140,—,128,128,46,88,19,28,7,7,46,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
23,511900,2024-05-11T1800,2024年05月11日 18时,巴中市,苏山坪,2914A,0.4,0.4,31.8794,106.7677,极少数异常敏感人群应减少户外活动,15,8,74,—,81,80,106,54,34,25,4,4,78,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
23,511900,2024-05-11T1800,2024年05月11日 18时,巴中市,丽阳花园,3182A,0.4,0.6,31.8545,106.7656,极少数异常敏感人群应减少户外活动,19,20,73,—,67,67,90,54,29,33,5,5,70,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
23,511900,2024-05-11T1800,2024年05月11日 18时,巴中市,圣泉水务公司,3183A,0.5,0.6,31.8654,106.7418,极少数异常敏感人群应减少户外活动,16,22,72,—,66,66,95,48,33,26,4,4,73,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
23,511900,2024-05-11T1800,2024年05月11日 18时,巴中市,市中心医院,3616A,0.4,0.6,31.8344,106.7616,极少数异常敏感人群应减少户外活动,17,18,69,—,65,65,93,54,33,33,5,5,72,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
7,220800,2024-05-11T1800,2024年05月11日 18时,白城市,洮北区环保局,2235A,0.3,0.3,45.6077,122.7911,各类人群可正常活动,2,5,77,—,78,78,8,15,5,14,6,5,25,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
7,220800,2024-05-11T1800,2024年05月11日 18时,白城市,市环保局,2236A,0.3,0.3,45.5725,122.8738,—,8,10,79,—,80,80,—,32,—,9,4,4,—,1,1,1,1,0,0,1,—,—,—,1,False,—,—,—,—
7,220600,2024-05-11T1800,2024年05月11日 18时,白山市,喜丰,2231A,1.1,1.1,41.9171,126.4219,极少数异常敏感人群应减少户外活动,6,5,89,—,108,91,123,36,29,10,10,9,87,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
7,220600,2024-05-11T1800,2024年05月11日 18时,白山市,环保局,2232A,0.9,0.8,41.9419,126.4077,极少数异常敏感人群应减少户外活动,9,6,88,—,109,88,106,42,37,17,9,9,78,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
28,620400,2024-05-11T1800,2024年05月11日 18时,白银市,第三小学,2647A,0.5,0.9,36.5446,104.1724,极少数异常敏感人群应减少户外活动,9,14,139,—,121,121,101,42,20,22,18,15,76,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
28,620400,2024-05-11T1800,2024年05月11日 18时,白银市,动力公司,2648A,0.5,0.8,36.5482,104.1465,极少数异常敏感人群应减少户外活动,9,13,142,—,121,121,103,42,21,20,23,14,77,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
20,451000,2024-05-11T1800,2024年05月11日 18时,百色市,市监测站,2512A,0.6,0.8,23.9011,106.6103,各类人群可正常活动,9,11,85,—,90,90,40,38,24,20,5,8,40,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
20,451000,2024-05-11T1800,2024年05月11日 18时,百色市,市中心血站,2513A,0.6,0.7,23.8859,106.6538,极少数异常敏感人群应减少户外活动,10,18,79,—,78,78,60,45,22,21,5,8,55,1,1,1,1,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
20,451000,2024-05-11T1800,2024年05月11日 18时,百色市,祈福高中,3406A,0.9,1,23.8798,106.6085,各类人群可正常活动,6,13,86,—,86,86,44,43,18,19,7,13,44,1,1,1,1,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,工人疗养院,2270A,0.5,0.5,32.939,117.396,极少数异常敏感人群应减少户外活动,11,12,88,—,88,79,98,68,43,37,6,8,74,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,百货大楼,2271A,0.7,0.6,32.9427,117.3605,极少数异常敏感人群应减少户外活动,13,14,81,—,86,77,101,74,44,41,3,5,76,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,蚌埠学院,2273A,0.6,0.7,32.8911,117.4185,极少数异常敏感人群应减少户外活动,12,15,84,—,72,71,107,65,48,44,5,9,79,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,淮上区政府,2274A,0.5,0.5,32.9673,117.3533,极少数异常敏感人群应减少户外活动,8,10,81,—,85,79,95,64,50,44,5,7,73,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,高新区,2275A,0.6,0.6,32.8977,117.3145,极少数异常敏感人群应减少户外活动,11,12,82,—,78,77,85,67,48,44,5,7,68,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
12,340300,2024-05-11T1800,2024年05月11日 18时,蚌埠市,蚌埠田家炳中学,3715A,0.5,0.5,32.9314,117.3092,极少数异常敏感人群应减少户外活动,6,9,82,—,76,74,97,72,46,44,5,7,74,1,1,1,1,2,2,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,市环境监测站,1585A,0.2,0.3,40.6532,109.8756,各类人群可正常活动,8,14,108,—,109,109,33,125,2,22,7,9,34,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,包头八中,1587A,0.2,0.4,40.5842,109.9991,各类人群可正常活动,6,21,123,—,121,121,32,145,11,41,6,10,39,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,青山宾馆,1588A,0.3,0.3,40.6821,109.8538,各类人群可正常活动,5,12,108,—,108,108,19,109,6,25,9,10,34,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,惠龙物流,1589A,0.1,0.6,40.6288,109.8642,各类人群可正常活动,8,22,111,—,110,110,22,136,9,30,8,17,35,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,东河鸿龙湾,1590A,0.4,0.6,40.5546,110.0377,各类人群可正常活动,6,21,107,—,106,106,21,128,2,27,5,10,34,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,滨河大厦,3283A,0.4,0.6,40.5685,109.9154,各类人群可正常活动,4,19,109,—,109,109,19,111,2,30,8,16,35,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,包头市委党校,3419A,0.2,0.4,40.6261,109.9447,各类人群可正常活动,8,15,108,—,108,108,30,131,2,21,9,11,34,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
5,150200,2024-05-11T1800,2024年05月11日 18时,包头市,昆区政府,3683A,0.2,0.5,40.6576,109.8331,各类人群可正常活动,8,18,110,—,108,108,20,120,4,32,7,12,35,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,庙沟村,1930A,0.4,0.4,34.3063,107.185,极少数异常敏感人群应减少户外活动,11,8,121,—,111,111,60,123,17,30,9,9,55,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,竹园沟,1931A,0.4,0.4,34.3017,107.0708,极少数异常敏感人群应减少户外活动,12,13,115,—,126,126,61,111,15,29,5,5,56,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,三陆医院,1932A,0.3,0.4,34.3672,107.1906,极少数异常敏感人群应减少户外活动,18,22,130,—,124,124,68,104,11,27,5,6,59,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,监测站,1933A,0.4,0.3,34.3547,107.1431,极少数异常敏感人群应减少户外活动,18,17,128,—,120,120,58,102,16,30,7,8,54,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,技工学校,1934A,0.2,0.3,34.3739,107.1186,极少数异常敏感人群应减少户外活动,17,14,134,—,127,127,62,102,18,33,5,7,56,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,陈仓区环保局家属楼,1935A,0.2,0.2,34.3528,107.3906,极少数异常敏感人群应减少户外活动,11,12,141,—,133,133,53,108,9,33,4,4,52,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,文理学院,1936A,0.2,0.3,34.3497,107.2058,各类人群可正常活动,16,14,139,—,133,133,50,109,10,29,6,6,50,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
27,610300,2024-05-11T1800,2024年05月11日 18时,宝鸡市,三迪小学,1937A,0.2,0.3,34.3622,107.2386,极少数异常敏感人群应减少户外活动,18,16,133,—,127,127,55,103,21,31,6,7,53,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,游泳馆,1051A,0.2,0.2,38.8632,115.493,各类人群可正常活动,2,4,122,—,117,117,45,275,0,41,3,3,45,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,华电二区,1052A,0.0,0.2,38.8959,115.5213,各类人群可正常活动,11,8,116,—,115,115,37,167,3,46,4,3,37,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,接待中心,1053A,0.1,0.1,38.9108,115.4713,各类人群可正常活动,3,6,116,—,113,113,37,162,9,38,2,2,37,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,地表水厂,1054A,0.0,0.1,38.8416,115.4612,各类人群可正常活动,8,11,113,—,110,110,44,203,7,56,1,1,44,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,满城区生态环境分局,3581A,0.1,0.2,38.95208,115.31981,各类人群可正常活动,2,6,120,—,116,116,27,197,7,40,1,2,38,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,清苑区第二中学,3582A,0.2,0.3,38.76408,115.47694,极少数异常敏感人群应减少户外活动,12,10,118,—,118,118,84,262,16,38,4,4,67,1,1,1,2,2,1,1,颗粒物(PM10),良,空气质量可接受，但某些污染物可能对极少数异常敏感人群健康有较弱影响,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,徐水物探局,3583A,0.2,0.2,39.02311,115.62909,—,2,5,—,—,115,115,53,233,5,34,3,4,—,1,1,0,0,2,1,1,—,—,—,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,双鹰农机,4004A,0.0,0.1,38.8656,115.4202,各类人群可正常活动,6,8,129,—,122,122,41,195,11,45,3,4,41,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
3,130600,2024-05-11T1800,2024年05月11日 18时,保定市,植保所站,4034A,0.1,0.2,38.8590,115.5150,各类人群可正常活动,4,5,126,—,123,123,49,195,16,52,3,3,49,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
25,530500,2024-05-11T1800,2024年05月11日 18时,保山市,市环境监测站,2594A,0.9,0.9,25.1081,99.1678,各类人群可正常活动,6,8,116,—,107,107,37,33,20,18,8,8,37,1,1,1,2,1,1,1,—,优,空气质量令人满意，基本无空气污染,1,False,—,—,—,—
